uniqueID,DraftYear,"Player Name (Last Name, First Name)",Position,Height in Ft & In,Weight in lbs,Standing vertical Jump,Maximum Vertical Jump (with steps),three-quarter court sprint,lane agility drill,Bench Press test,Drafted?,Player
545,2017,"Sumner, Edmond",PG,"6'4""",176.4,,,,,,Yes,Edmond Sumner
546,2017,"Swanigan, Caleb",PF,"6'8""",245.6,,,,,,Yes,Caleb Swanigan
547,2017,"Thornwell, Sindarius",SG-SF,"6'4""",211.6,27.0,30.5,3.36,11.48,15.0,Yes,Sindarius Thornwell
548,2017,"Trimble, Melo",PG,"6'1""",195.2,24.5,32.0,3.27,10.75,6.0,No,Melo Trimble
549,2017,"Walton Jr., Derrick",PG,"5'11""",188.6,26.0,32.5,3.29,11.28,9.0,No,Derrick Walton Jr.
550,2017,"Welsh, Thomas",PF-C,"6'12""",254.0,,,,,11.0,No,Thomas Welsh
551,2017,"White, Derrick",PG,"6'3""",189.8,31.0,36.5,3.08,10.84,10.0,Yes,Derrick White
552,2017,"Williams-Goss, Nigel",PG,"6'2""",190.2,27.5,34.5,3.19,10.42,10.0,No,Nigel Williams-Goss
553,2017,"Wilson, D.J.",PF,"6'9""",234.4,,,,,,No,D.J. Wilson
554,2017,"Yurtseven, Omer",C,"6'10""",248.4,26.0,31.5,3.45,12.85,6.0,No,Omer Yurtseven
555,2016,"Baker, Ron",SG,"6'3""",212.4,30.0,35.5,3.45,10.77,,No,Ron Baker
556,2016,"Baldwin IV, Wade",PG,"6'2""",201.8,32.5,38.0,3.19,10.45,,No,Wade Baldwin IV
557,2016,"Barber, Cat",PG,"6'2""",173.0,,,,,,No,Cat Barber
558,2016,"Beasley, Malik",SG,"6'4""",189.8,,,,,,Yes,Malik Beasley
559,2016,"Bembry, DeAndre",SG-SF,"6'4""",206.6,32.0,38.0,3.17,10.9,,No,DeAndre Bembry
560,2016,"Bentil, Ben",PF,"6'7""",229.2,29.0,33.0,3.3,11.16,,Yes,Ben Bentil
561,2016,"Bolomboy, Joel",PF,"6'8""",224.4,37.5,40.5,3.17,10.26,,Yes,Joel Bolomboy
562,2016,"Brogdon, Malcolm",SG,"6'4""",223.0,30.5,35.5,3.31,10.77,,Yes,Malcolm Brogdon
563,2016,"Brown, Jaylen",SG-SF,"6'5""",222.8,,,,,,Yes,Jaylen Brown
564,2016,"Chriss, Marquese",PF,"6'9""",233.0,32.5,38.5,3.26,11.93,,Yes,Marquese Chriss
565,2016,"Cook, Elgin",SF,"6'5""",209.8,,,,,,No,Elgin Cook
566,2016,"Cousins, Isaiah",PG,"6'3""",194.0,30.5,37.0,3.24,10.79,,Yes,Isaiah Cousins
567,2016,"Davis, Deyonta",PF,"6'9""",237.2,,,,,,Yes,Deyonta Davis
568,2016,"Diallo, Cheick",PF,"6'8""",218.6,31.0,35.0,3.26,11.24,,Yes,Cheick Diallo
569,2016,"Dunn, Kris",PG,"6'3""",0.0,,,,,,Yes,Kris Dunn
