Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,DraftYear
47,47,SAC,Ignas Brazdeikis,Michigan,3,64,838,318,122,58,.416,.315,.686,13.1,5.0,1.9,0.9,0.4,.024,-4.9,-0.6,2019
48,48,LAC,Terance Mann,Florida State,7,475,10630,3786,1651,980,.496,.371,.782,22.4,8.0,3.5,2.1,23.3,.105,-1.2,2.2,2019
49,49,SAS,Quinndary Weatherspoon,Mississippi State,3,42,272,88,32,24,.452,.188,.826,6.5,2.1,0.8,0.6,0.2,.030,-5.5,-0.2,2019
50,50,IND,Jarrell Brantley,College of Charleston,3,41,273,110,53,29,.457,.380,.833,6.7,2.7,1.3,0.7,0.6,.108,0.0,0.1,2019
51,51,BOS,Tremont Waters,LSU,3,40,407,149,37,85,.354,.296,.960,10.2,3.7,0.9,2.1,0.1,.012,-3.0,-0.1,2019
52,52,CHO,Jalen McDaniels,San Diego State,6,252,4550,1699,829,292,.449,.322,.777,18.1,6.7,3.3,1.2,5.3,.056,-3.3,-1.5,2019
53,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,.350,.200,.750,11.3,4.8,1.3,1.8,0.0,-.008,-9.0,-0.1,2019
54,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,.250,.333,.750,7.0,2.8,1.8,0.3,-0.1,-.130,-13.0,-0.1,2019
55,55,NYK,Kyle Guy,Virginia,3,53,431,165,53,50,.361,.303,.750,8.1,3.1,1.0,0.9,0.1,.006,-4.9,-0.3,2019
56,56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,,2019
57,57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,.378,.286,,10.4,2.8,1.2,1.1,0.1,.010,-5.9,-0.2,2019
58,58,GSW,Miye Oni,Yale,3,80,672,145,108,37,.350,.330,.750,8.4,1.8,1.4,0.5,1.0,.070,-2.5,-0.1,2019
59,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,.357,.500,.600,4.7,2.3,2.3,0.5,0.0,.043,-9.6,-0.1,2019
60,60,SAC,Vanja Marinković,,,,,,,,,,,,,,,,,,,2019
1,1,MIN,Anthony Edwards,Georgia,6,442,15400,10854,2319,1826,.453,.369,.802,34.8,24.6,5.2,4.1,31.4,.098,2.1,15.8,2020
2,2,GSW,James Wiseman,Memphis,5,152,2857,1363,838,113,.560,.262,.682,18.8,9.0,5.5,0.7,4.3,.072,-4.0,-1.5,2020
3,3,CHO,LaMelo Ball,,6,303,9392,6304,1726,2224,.418,.365,.847,31.0,20.8,5.7,7.3,19.8,.101,3.3,12.5,2020
4,4,CHI,Patrick Williams,Florida State,6,348,8952,3141,1341,509,.438,.381,.762,25.7,9.0,3.9,1.5,8.3,.044,-2.6,-1.4,2020
5,5,CLE,Isaac Okoro,Auburn,6,397,10441,3292,1103,636,.465,.347,.741,26.3,8.3,2.8,1.6,18.2,.084,-2.3,-0.8,2020
6,6,ATL,Onyeka Okongwu,USC,6,381,9208,4083,2620,625,.573,.356,.756,24.2,10.7,6.9,1.6,30.9,.161,0.6,6.0,2020
7,7,DET,Killian Hayes,,6,239,6047,1885,691,1202,.377,.280,.792,25.3,7.9,2.9,5.0,-0.4,-.004,-4.0,-3.0,2020
8,8,NYK,Obi Toppin,Dayton,6,386,6662,3353,1337,483,.521,.355,.786,17.3,8.7,3.5,1.3,17.7,.128,1.2,5.4,2020
9,9,WAS,Deni Avdija,,6,425,11878,5643,2690,1450,.462,.333,.771,27.9,13.3,6.3,3.4,21.7,.088,0.0,6.0,2020
10,10,PHO,Jalen Smith,Maryland,6,324,5463,2831,1787,287,.501,.342,.752,16.9,8.7,5.5,0.9,14.6,.128,-0.3,2.4,2020
11,11,SAS,Devin Vassell,Florida State,6,370,10446,5212,1413,955,.443,.372,.807,28.2,14.1,3.8,2.6,16.8,.077,-0.3,4.4,2020
12,12,SAC,Tyrese Haliburton,Iowa State,5,333,10998,5842,1218,2947,.477,.392,.855,33.0,17.5,3.7,8.8,37.6,.164,4.8,18.9,2020
13,13,NOP,Kira Lewis Jr.,Alabama,4,131,1745,687,169,233,.397,.294,.848,13.3,5.2,1.3,1.8,1.3,.036,-3.5,-0.6,2020
14,14,BOS,Aaron Nesmith,Vanderbilt,6,333,7511,3191,1133,391,.453,.383,.828,22.6,9.6,3.4,1.2,11.2,.072,-2.1,-0.2,2020
15,15,ORL,Cole Anthony,UNC,6,355,8462,4249,1459,1344,.419,.343,.841,23.8,12.0,4.1,3.8,10.5,.060,-0.8,2.5,2020
16,16,POR,Isaiah Stewart,Washington,6,365,8859,3212,2467,473,.514,.343,.737,24.3,8.8,6.8,1.3,19.5,.106,-1.5,1.2,2020
17,17,MIN,Aleksej Pokusevski,,4,168,3429,1253,778,327,.391,.304,.702,20.4,7.5,4.6,1.9,-0.2,-.002,-3.1,-1.0,2020
18,18,DAL,Josh Green,Arizona,6,349,7323,2190,879,495,.480,.387,.705,21.0,6.3,2.5,1.4,11.1,.073,-2.6,-1.2,2020
19,19,BRK,Saddiq Bey,Villanova,5,364,11050,5374,1932,720,.418,.355,.842,30.4,14.8,5.3,2.0,20.0,.087,-0.5,4.3,2020
20,20,MIA,Precious Achiuwa,Memphis,6,393,8141,3156,2305,414,.494,.299,.596,20.7,8.0,5.9,1.1,14.8,.087,-2.1,-0.3,2020
21,21,PHI,Tyrese Maxey,Kentucky,6,388,12848,8182,1242,1864,.461,.377,.873,33.1,21.1,3.2,4.8,35.1,.131,2.2,13.5,2020
22,22,DEN,Zeke Nnaji,Arizona,6,303,3633,1243,702,129,.503,.345,.671,12.0,4.1,2.3,0.4,7.5,.100,-2.8,-0.7,2020
23,23,NYK,Leandro Bolmaro,,2,49,309,56,50,28,.270,.227,.846,6.3,1.1,1.0,0.6,-0.3,-.048,-7.8,-0.5,2020
24,24,MIL,R.J. Hampton,,4,170,3116,1155,466,307,.408,.338,.679,18.3,6.8,2.7,1.8,0.8,.013,-3.8,-1.4,2020
25,25,OKC,Immanuel Quickley,Kentucky,6,394,10523,5692,1379,1618,.426,.375,.852,26.7,14.4,3.5,4.1,27.9,.127,1.5,9.2,2020
26,26,BOS,Payton Pritchard,Oregon,6,426,9564,4498,1264,1291,.457,.394,.869,22.5,10.6,3.0,3.0,29.4,.148,1.5,8.5,2020
27,27,UTA,Udoka Azubuike,Kansas,4,84,724,256,235,14,.758,,.444,8.6,3.0,2.8,0.2,2.0,.133,-1.5,0.1,2020
28,28,LAL,Jaden McDaniels,Washington,6,439,12765,4868,1836,761,.489,.359,.774,29.1,11.1,4.2,1.7,23.1,.087,-1.5,1.5,2020
29,29,TOR,Malachi Flynn,San Diego State,5,217,3076,1184,376,414,.387,.333,.747,14.2,5.5,1.7,1.9,2.9,.045,-2.6,-0.5,2020
30,30,BOS,Desmond Bane,TCU,6,395,12030,7227,1776,1517,.475,.407,.890,30.5,18.3,4.5,3.8,33.0,.132,2.2,12.7,2020
31,31,DAL,Tyrell Terry,Stanford,2,13,59,13,6,6,.353,.000,.333,4.5,1.0,0.5,0.5,0.0,-.035,-4.8,0.0,2020
32,32,CHO,Vernon Carey Jr.,Duke,3,37,187,72,50,5,.474,.143,.654,5.1,1.9,1.4,0.1,0.2,.058,-6.3,-0.2,2020
33,33,MIN,Daniel Oturu,Minnesota,2,33,188,63,53,10,.431,.167,.706,5.7,1.9,1.6,0.3,0.3,.086,-5.2,-0.2,2020
34,34,PHI,Théo Maledon,,4,177,3753,1373,489,518,.372,.310,.793,21.2,7.8,2.8,2.9,-0.2,-.002,-4.6,-2.4,2020
35,35,SAC,Xavier Tillman Sr.,Michigan State,6,290,4354,1433,1021,330,.506,.246,.572,15.0,4.9,3.5,1.1,10.3,.114,-0.2,2.0,2020
36,36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,.318,.250,.600,3.9,1.0,1.1,0.2,0.0,-.033,-9.5,-0.1,2020
37,37,WAS,Vít Krejčí,,5,203,3941,1320,483,371,.458,.393,.754,19.4,6.5,2.4,1.8,6.9,.084,-2.0,0.1,2020
38,38,UTA,Saben Lee,Vanderbilt,4,134,1943,697,260,378,.421,.271,.734,14.5,5.2,1.9,2.8,3.5,.085,-1.4,0.3,2020
39,39,NOP,Elijah Hughes,Syracuse,2,54,498,157,67,28,.328,.280,.769,9.2,2.9,1.2,0.5,-0.4,-.039,-6.4,-0.5,2020
40,40,MEM,Robert Woodard II,Mississippi State,2,25,87,27,27,5,.278,.200,.500,3.5,1.1,1.1,0.2,-0.1,-.077,-7.7,-0.1,2020
41,41,SAS,Tre Jones,Duke,6,362,8196,3397,1030,1740,.503,.312,.840,22.6,9.4,2.8,4.8,20.3,.119,-0.1,4.0,2020
42,42,NOP,Nick Richards,Kentucky,6,305,5363,2154,1761,172,.621,.261,.724,17.6,7.1,5.8,0.6,13.9,.124,-2.9,-1.2,2020
