Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,DraftYear
29,29,PHO,Day'Ron Sharpe,UNC,5,253,3932,1777,1492,375,.564,.274,.658,15.5,7.0,5.9,1.5,11.9,.145,0.0,2.0,2021
30,30,UTA,Santi Aldama,Loyola (MD),5,278,6518,2895,1513,570,.463,.346,.686,23.4,10.4,5.4,2.1,14.5,.107,0.9,4.7,2021
31,31,MIL,Isaiah Todd,,2,18,135,29,24,8,.222,.192,.500,7.5,1.6,1.3,0.4,-0.3,-.124,-10.2,-0.3,2021
32,32,NYK,Jeremiah Robinson-Earl,Villanova,5,219,3835,1292,948,216,.434,.335,.811,17.5,5.9,4.3,1.0,5.9,.074,-2.4,-0.4,2021
33,33,ORL,Jason Preston,Ohio University,2,21,195,53,39,43,.400,.238,.000,9.3,2.5,1.9,2.0,0.1,.023,-2.6,0.0,2021
34,34,OKC,Rokas Jokubaitis,,,,,,,,,,,,,,,,,,,2021
35,35,NOP,Herbert Jones,Alabama,5,296,8843,2929,1105,748,.458,.350,.822,29.9,9.9,3.7,2.5,16.4,.089,-0.9,2.6,2021
36,36,OKC,Miles McBride,West Virginia,5,277,5133,1975,453,520,.409,.374,.781,18.5,7.1,1.6,1.9,10.5,.099,-0.4,2.0,2021
37,37,DET,JT Thor,Auburn,4,185,2261,599,389,90,.419,.317,.651,12.2,3.2,2.1,0.5,1.2,.026,-4.5,-1.5,2021
38,38,CHI,Ayo Dosunmu,Illinois,5,348,9695,3878,1048,1161,.505,.380,.804,27.9,11.1,3.0,3.3,17.5,.086,-1.2,2.0,2021
39,39,SAC,Neemias Queta,Utah State University,5,186,3271,1297,1036,198,.642,.091,.707,17.6,7.0,5.6,1.1,14.2,.209,1.4,2.8,2021
40,40,NOP,Jared Butler,Baylor,4,148,2047,990,217,417,.450,.341,.818,13.8,6.7,1.5,2.8,2.5,.059,-1.5,0.3,2021
41,41,SAS,Joe Wieskamp,Iowa,2,38,255,70,18,12,.329,.309,.538,6.7,1.8,0.5,0.3,0.1,.013,-5.3,-0.2,2021
42,42,DET,Isaiah Livers,Michigan,4,130,2398,646,309,108,.400,.352,.783,18.4,5.0,2.4,0.8,2.0,.039,-3.1,-0.7,2021
43,43,NOP,Greg Brown III,Texas,3,70,773,268,163,42,.424,.296,.616,11.0,3.8,2.3,0.6,0.2,.015,-5.1,-0.6,2021
44,44,BRK,Kessler Edwards,Pepperdine,4,178,2255,645,390,111,.428,.360,.786,12.7,3.6,2.2,0.6,2.7,.058,-2.9,-0.5,2021
45,45,BOS,Juhann Begarin,,,,,,,,,,,,,,,,,,,2021
46,46,TOR,Dalano Banton,Nebraska,5,222,3204,1475,487,433,.401,.303,.732,14.4,6.6,2.2,2.0,2.0,.030,-1.5,0.4,2021
47,47,TOR,David Johnson,Louisville,1,2,2,0,0,0,.000,.000,,1.0,0.0,0.0,0.0,0.0,-.495,-27.7,0.0,2021
48,48,ATL,Sharife Cooper,Auburn,2,54,739,340,91,129,.498,.366,.833,13.7,6.3,1.7,2.4,0.4,.023,-4.6,-0.5,2021
49,49,BRK,Marcus Zegarowski,Creighton,,,,,,,,,,,,,,,,,,2021
50,50,PHI,Filip Petrušev,Gonzaga,1,3,10,3,1,0,.500,,.500,3.3,1.0,0.3,0.0,0.0,.029,-8.0,0.0,2021
51,51,MEM,Brandon Boston Jr.,Kentucky,4,147,2346,1101,327,176,.412,.328,.781,16.0,7.5,2.2,1.2,1.0,.021,-3.7,-1.0,2021
52,52,DET,Luka Garza,Iowa,5,193,2091,1161,529,119,.529,.367,.728,10.8,6.0,2.7,0.6,8.2,.187,0.4,1.3,2021
53,53,PHI,Charles Bassey,Western Kentucky,5,126,1410,564,540,100,.635,.231,.657,11.2,4.5,4.3,0.8,4.5,.152,0.6,0.9,2021
54,54,IND,Sandro Mamukelashvili,Seton Hall,5,271,3950,1885,996,332,.494,.366,.739,14.6,7.0,3.7,1.2,11.4,.138,1.1,3.2,2021
55,55,OKC,Aaron Wiggins,Maryland,5,339,6892,2962,1068,477,.487,.380,.784,20.3,8.7,3.2,1.4,15.0,.105,-0.9,1.9,2021
56,56,CHO,Scottie Lewis,Florida,1,2,7,1,0,1,,,.500,3.5,0.5,0.0,0.5,0.0,.164,6.0,0.0,2021
57,57,CHO,Balša Koprivica,Florida State,,,,,,,,,,,,,,,,,,2021
58,58,NYK,Jericho Sims,Texas,5,258,3902,792,1125,208,.742,.000,.601,15.1,3.1,4.4,0.8,10.1,.124,-2.1,-0.1,2021
59,59,BRK,RaiQuan Gray,Florida State,2,4,74,39,16,13,.552,.417,1.000,18.5,9.8,4.0,3.3,0.2,.149,2.9,0.1,2021
60,60,IND,Georgios Kalaitzakis,,1,13,213,86,21,12,.463,.385,.467,16.4,6.6,1.6,0.9,-0.1,-.024,-7.0,-0.3,2021
1,1,ORL,Paolo Banchero,Duke,4,270,9313,6031,2000,1292,.449,.317,.743,34.5,22.3,7.4,4.8,16.1,.083,1.0,7.1,2022
2,2,OKC,Chet Holmgren,Gonzaga,3,183,5287,3017,1520,378,.534,.369,.785,28.9,16.5,8.3,2.1,21.2,.192,3.5,7.4,2022
3,3,HOU,Jabari Smith Jr.,Auburn,4,289,9296,3967,2113,425,.437,.347,.796,32.2,13.7,7.3,1.5,18.3,.094,-1.4,1.4,2022
4,4,SAC,Keegan Murray,Iowa,4,256,8373,3411,1430,374,.447,.365,.807,32.7,13.3,5.6,1.5,14.1,.081,-1.2,1.6,2022
5,5,DET,Jaden Ivey,Purdue,4,218,6089,3233,767,870,.430,.355,.749,27.9,14.8,3.5,4.0,2.9,.023,-2.4,-0.6,2022
6,6,IND,Bennedict Mathurin,Arizona,4,263,7529,4263,1228,500,.442,.336,.838,28.6,16.2,4.7,1.9,8.3,.053,-3.2,-2.2,2022
7,7,POR,Shaedon Sharpe,Kentucky,4,234,6561,3676,937,518,.450,.332,.781,28.0,15.7,4.0,2.2,5.9,.043,-2.1,-0.2,2022
8,8,NOP,Dyson Daniels,,4,272,7491,2555,1393,1080,.488,.298,.614,27.5,9.4,5.1,4.0,15.8,.102,0.8,5.3,2022
9,9,SAS,Jeremy Sochan,Baylor,4,228,5484,2250,1230,559,.470,.286,.725,24.1,9.9,5.4,2.5,5.4,.047,-2.8,-1.1,2022
10,10,WAS,Johnny Davis,Wisconsin,3,112,1278,395,175,71,.397,.273,.561,11.4,3.5,1.6,0.6,-0.4,-.013,-6.2,-1.3,2022
11,11,NYK,Ousmane Dieng,,4,166,2438,899,417,250,.423,.314,.720,14.7,5.4,2.5,1.5,2.0,.040,-3.1,-0.7,2022
12,12,OKC,Jalen Williams,Santa Clara,4,248,7672,4464,1140,1105,.509,.374,.808,30.9,18.0,4.6,4.5,23.8,.149,2.2,8.2,2022
13,13,CHO,Jalen Duren,Memphis,4,276,7457,3736,2848,569,.652,.000,.715,27.0,13.5,10.3,2.1,29.5,.190,2.0,7.5,2022
14,14,CLE,Ochai Agbaji,Kansas,4,263,5562,1903,720,295,.448,.339,.755,21.1,7.2,2.7,1.1,5.5,.047,-2.9,-1.3,2022
15,15,CHO,Mark Williams,Duke,4,166,3923,2000,1412,207,.629,.200,.760,23.6,12.0,8.5,1.2,16.0,.196,1.9,3.8,2022
16,16,ATL,AJ Griffin,Duke,2,92,1572,687,171,78,.447,.372,.898,17.1,7.5,1.9,0.8,1.8,.053,-1.7,0.1,2022
17,17,HOU,Tari Eason,LSU,4,221,5216,2288,1387,288,.451,.350,.748,23.6,10.4,6.3,1.3,11.8,.108,0.1,2.8,2022
18,18,CHI,Dalen Terry,Arizona,4,218,2433,767,360,266,.443,.314,.638,11.2,3.5,1.7,1.2,3.1,.061,-2.6,-0.3,2022
19,19,MIN,Jake LaRavia,Wake Forest,4,218,4630,1616,776,382,.441,.351,.756,21.2,7.4,3.6,1.8,8.2,.085,-1.2,0.9,2022
20,20,SAS,Malaki Branham,Ohio State,4,216,3846,1726,424,344,.441,.339,.840,17.8,8.0,2.0,1.6,0.1,.001,-4.9,-2.9,2022
21,21,DEN,Christian Braun,Kansas,4,281,6910,2704,1108,516,.526,.365,.758,24.6,9.6,3.9,1.8,16.4,.114,-1.0,1.8,2022
22,22,MEM,Walker Kessler,Auburn,4,201,5090,1910,1862,241,.681,.266,.545,25.3,9.5,9.3,1.2,17.1,.161,2.0,5.1,2022
23,23,PHI,David Roddy,Colorado State,4,173,2918,1084,508,178,.424,.301,.693,16.9,6.3,2.9,1.0,2.0,.033,-3.9,-1.4,2022
24,24,MIL,MarJon Beauchamp,,4,149,1661,651,290,92,.431,.352,.712,11.1,4.4,1.9,0.6,1.4,.041,-3.8,-0.7,2022
25,25,SAS,Blake Wesley,Notre Dame,4,187,2589,817,275,440,.416,.294,.617,13.8,4.4,1.5,2.4,-0.2,-.004,-5.4,-2.2,2022
26,26,DAL,Wendell Moore Jr.,Duke,4,96,787,220,131,70,.464,.246,.828,8.2,2.3,1.4,0.7,1.0,.059,-2.5,-0.1,2022
27,27,MIA,Nikola Jović,,4,154,3064,1272,556,333,.425,.341,.756,19.9,8.3,3.6,2.2,4.7,.073,-0.9,0.8,2022
28,28,GSW,Patrick Baldwin Jr.,UW-Milwaukee,4,102,928,376,211,48,.405,.376,.667,9.1,3.7,2.1,0.5,0.7,.034,-3.3,-0.3,2022
29,29,MEM,TyTy Washington Jr.,Kentucky,4,74,695,215,69,85,.357,.243,.542,9.4,2.9,0.9,1.1,-0.2,-.012,-5.7,-0.7,2022
30,30,OKC,Peyton Watson,UCLA,4,225,4928,1947,792,302,.479,.361,.697,21.9,8.7,3.5,1.3,7.8,.076,-1.8,0.3,2022
31,31,IND,Andrew Nembhard,Gonzaga,4,265,7437,2954,716,1384,.457,.344,.809,28.1,11.1,2.7,5.2,8.9,.057,-2.2,-0.2,2022
32,32,ORL,Caleb Houstan,Michigan,4,186,2490,727,269,98,.397,.378,.844,13.4,3.9,1.4,0.5,4.2,.081,-2.6,-0.4,2022
33,33,TOR,Christian Koloko,Arizona,3,122,1501,345,344,65,.493,.080,.648,12.3,2.8,2.8,0.5,2.9,.094,-3.6,-0.6,2022
34,34,OKC,Jaylin Williams,Arkansas,4,230,3872,1311,1095,464,.428,.387,.770,16.8,5.7,4.8,2.0,11.7,.145,1.6,3.6,2022
35,35,LAL,Max Christie,Michigan State,4,263,5827,2106,724,378,.433,.386,.864,22.2,8.0,2.8,1.4,6.7,.055,-2.4,-0.6,2022
36,36,POR,Gabriele Procida,,,,,,,,,,,,,,,,,,,2022
37,37,SAC,Jaden Hardy,,4,235,3502,1969,395,313,.425,.386,.756,14.9,8.4,1.7,1.3,0.5,.007,-4.1,-1.8,2022
38,38,SAS,Kennedy Chandler,Tennessee,2,47,636,243,75,132,.436,.321,.607,13.5,5.2,1.6,2.8,0.5,.035,-4.4,-0.4,2022
39,39,CLE,Khalifa Diop,,,,,,,,,,,,,,,,,,,2022
40,40,MIN,Bryce McGowens,Nebraska,4,160,2581,901,286,169,.438,.351,.771,16.1,5.6,1.8,1.1,2.3,.043,-4.6,-1.7,2022
41,41,NOP,E.J. Liddell,Ohio State,3,46,425,172,83,28,.477,.313,.833,9.2,3.7,1.8,0.6,0.6,.070,-3.5,-0.2,2022
42,42,NYK,Trevor Keels,Duke,2,11,23,11,4,0,.250,.231,,2.1,1.0,0.4,0.0,-0.1,-.150,-14.0,-0.1,2022
43,43,LAC,Moussa Diabaté,Michigan,4,177,3399,1066,1147,205,.606,.200,.634,19.2,6.0,6.5,1.2,11.4,.162,0.2,1.9,2022
44,44,ATL,Ryan Rollins,Toledo,4,155,3336,1697,471,538,.474,.408,.800,21.5,10.9,3.0,3.5,5.1,.074,-0.1,1.6,2022
45,45,CHO,Josh Minott,Memphis,4,142,1297,579,247,77,.495,.396,.833,9.1,4.1,1.7,0.5,4.0,.148,2.3,1.4,2022
46,46,DET,Ismael Kamagate,,,,,,,,,,,,,,,,,,,2022
47,47,MEM,Vince Williams Jr.,VCU,4,134,2860,1030,558,400,.400,.322,.796,21.3,7.7,4.2,3.0,3.2,.054,-1.5,0.4,2022
48,48,MIN,Kendall Brown,Baylor,2,21,103,30,11,8,.545,.000,.600,4.9,1.4,0.5,0.4,0.1,.055,-5.3,-0.1,2022
49,49,CLE,Isaiah Mobley,USC,3,23,173,60,34,14,.407,.333,.714,7.5,2.6,1.5,0.6,0.3,.090,-3.0,0.0,2022
50,50,MIN,Matteo Spagnolo,,,,,,,,,,,,,,,,,,,2022
51,51,GSW,Tyrese Martin,UConn,3,122,2158,834,347,202,.401,.337,.761,17.7,6.8,2.8,1.7,1.0,.022,-3.0,-0.5,2022
52,52,NOP,Karlo Matković,,2,104,1703,677,438,96,.589,.378,.753,16.4,6.5,4.2,0.9,4.3,.120,-0.6,0.6,2022
53,53,BOS,JD Davison,Alabama,4,64,416,137,66,69,.380,.266,.688,6.5,2.1,1.0,1.1,0.6,.066,-2.3,0.0,2022
54,54,WAS,Yannick Nzosa,,,,,,,,,,,,,,,,,,,2022
55,55,GSW,Gui Santos,,3,147,2349,934,487,253,.490,.347,.737,16.0,6.4,3.3,1.7,5.2,.105,-0.9,0.7,2022
56,56,CLE,Luke Travers,,2,24,191,40,44,17,.250,.040,1.000,8.0,1.7,1.8,0.7,-0.1,-.025,-6.2,-0.2,2022
57,57,POR,Jabari Walker,Colorado,4,252,3830,1443,1042,176,.463,.323,.738,15.2,5.7,4.1,0.7,6.8,.085,-3.1,-1.1,2022
58,58,IND,Hugo Besson,,,,,,,,,,,,,,,,,,,2022
1,1,SAS,Victor Wembanyama,,3,181,5499,4238,1997,641,.484,.342,.817,30.4,23.4,11.0,3.5,17.5,.152,7.4,13.0,2023
2,2,CHO,Brandon Miller,Alabama,3,166,5275,3158,765,490,.431,.373,.863,31.8,19.0,4.6,3.0,5.7,.052,-0.6,1.9,2023
3,3,POR,Scoot Henderson,,3,158,4272,2132,472,783,.404,.343,.802,27.0,13.5,3.0,5.0,1.1,.013,-3.7,-1.8,2023
4,4,HOU,Amen Thompson,,3,210,6566,3005,1587,848,.541,.219,.731,31.3,14.3,7.6,4.0,22.6,.165,2.9,8.2,2023
5,5,DET,Ausar Thompson,,3,195,4807,1871,1123,482,.515,.204,.600,24.7,9.6,5.8,2.5,11.3,.112,1.0,3.6,2023
6,6,ORL,Anthony Black,Arkansas,3,211,4961,2011,613,567,.441,.338,.724,23.5,9.5,2.9,2.7,6.7,.065,-1.6,0.5,2023
7,7,IND,Bilal Coulibaly,,3,178,5131,1916,793,454,.426,.313,.734,28.8,10.8,4.5,2.6,1.7,.016,-3.4,-1.8,2023
8,8,WAS,Jarace Walker,Houston,3,184,3480,1465,683,342,.434,.386,.732,18.9,8.0,3.7,1.9,2.5,.035,-1.7,0.3,2023
9,9,UTA,Taylor Hendricks,Central Florida,3,102,2049,744,421,89,.449,.354,.714,20.1,7.3,4.1,0.9,2.4,.056,-2.1,-0.1,2023
10,10,DAL,Cason Wallace,Kentucky,3,227,5614,1789,654,493,.463,.374,.803,24.7,7.9,2.9,2.2,14.4,.123,0.8,4.0,2023
11,11,ORL,Jett Howard,Michigan,3,133,1463,597,164,95,.392,.326,.833,11.0,4.5,1.2,0.7,1.4,.046,-3.5,-0.5,2023
12,12,OKC,Dereck Lively II,Duke,3,98,2242,827,685,158,.725,.000,.579,22.9,8.4,7.0,1.6,8.7,.186,1.6,2.0,2023
13,13,TOR,Gradey Dick,Kansas,3,190,3922,1742,472,217,.417,.343,.864,20.6,9.2,2.5,1.1,3.1,.038,-4.0,-2.0,2023
14,14,NOP,Jordan Hawkins,UConn,3,174,3173,1386,394,178,.374,.348,.829,18.2,8.0,2.3,1.0,0.3,.005,-4.7,-2.2,2023
15,15,ATL,Kobe Bufkin,Michigan,3,43,439,180,67,54,.354,.212,.737,10.2,4.2,1.6,1.3,-0.2,-.024,-5.7,-0.4,2023
16,16,UTA,Keyonte George,Baylor,3,196,5918,3374,663,1041,.413,.348,.857,30.2,17.2,3.4,5.3,4.0,.032,-2.2,-0.3,2023
17,17,LAL,Jalen Hood-Schifino,Indiana,2,36,424,140,40,45,.329,.262,.732,11.8,3.9,1.1,1.3,-0.6,-.068,-9.3,-0.8,2023
18,18,MIA,Jaime Jaquez Jr.,UCLA,3,216,5602,2611,950,713,.491,.317,.779,25.9,12.1,4.4,3.3,10.5,.090,-0.9,1.6,2023
19,19,GSW,Brandin Podziemski,Santa Clara,3,220,6017,2562,1171,797,.452,.375,.757,27.4,11.6,5.3,3.6,13.4,.107,0.2,3.4,2023
20,20,HOU,Cam Whitmore,Villanova,3,119,2061,1249,389,97,.450,.349,.712,17.3,10.5,3.3,0.8,3.3,.077,-0.4,0.8,2023
21,21,BRK,Noah Clowney,Alabama,3,135,3192,1362,535,166,.395,.332,.802,23.6,10.1,4.0,1.2,2.4,.036,-3.3,-1.0,2023
22,22,BRK,Dariq Whitehead,Duke,3,28,453,215,57,24,.397,.380,.643,16.2,7.7,2.0,0.9,-0.1,-.015,-5.7,-0.4,2023
23,23,POR,Kris Murray,Iowa,3,188,3721,994,612,229,.425,.259,.600,19.8,5.3,3.3,1.2,3.6,.046,-2.7,-0.6,2023
24,24,SAC,Olivier-Maxence Prosper,Marquette,3,145,1904,852,392,113,.481,.348,.706,13.1,5.9,2.7,0.8,3.8,.097,-1.2,0.4,2023
25,25,MEM,Marcus Sasser,Houston,3,166,2619,1158,233,444,.431,.386,.859,15.8,7.0,1.4,2.7,3.6,.066,-1.8,0.1,2023
26,26,IND,Ben Sheppard,Belmont,3,185,3433,1043,461,252,.419,.342,.827,18.6,5.6,2.5,1.4,4.3,.060,-2.8,-0.7,2023
27,27,CHO,Nick Smith Jr.,Arkansas,3,141,2473,1078,223,235,.398,.374,.882,17.5,7.6,1.6,1.7,-1.0,-.019,-5.6,-2.3,2023
28,28,UTA,Brice Sensabaugh,Ohio State,3,178,3778,2129,543,308,.450,.380,.851,21.2,12.0,3.1,1.7,2.0,.026,-2.5,-0.5,2023
29,29,IND,Julian Strawther,Gonzaga,3,172,2790,1228,317,191,.429,.346,.801,16.2,7.1,1.8,1.1,2.7,.046,-4.2,-1.5,2023
30,30,LAC,Kobe Brown,Missouri,3,145,1629,519,312,129,.455,.338,.779,11.2,3.6,2.2,0.9,2.3,.067,-2.8,-0.3,2023
31,31,DET,James Nnaji,,,,,,,,,,,,,,,,,,,2023
32,32,IND,Jalen Pickett,Penn State,3,126,1595,502,199,243,.425,.387,.774,12.7,4.0,1.6,1.9,2.2,.067,-2.0,0.0,2023
33,33,SAS,Leonard Miller,,3,76,803,410,212,48,.552,.312,.762,10.6,5.4,2.8,0.6,2.0,.120,-0.7,0.3,2023
34,34,CHO,Colby Jones,Xavier,3,70,714,223,131,66,.433,.247,.630,10.2,3.2,1.9,0.9,0.6,.041,-3.4,-0.2,2023
35,35,BOS,Julian Phillips,Tennessee,3,167,1874,595,254,62,.435,.320,.771,11.2,3.6,1.5,0.4,2.5,.065,-3.5,-0.7,2023
36,36,ORL,Andre Jackson Jr.,UConn,3,172,1960,468,367,176,.440,.341,.597,11.4,2.7,2.1,1.0,1.8,.043,-4.2,-1.1,2023
37,37,OKC,Hunter Tyson,Clemson,3,90,610,200,123,39,.349,.281,.780,6.8,2.2,1.4,0.4,0.4,.028,-5.6,-0.6,2023
38,38,SAC,Jordan Walsh,Arkansas,3,129,1698,461,361,78,.471,.344,.732,13.2,3.6,2.8,0.6,4.3,.122,-0.9,0.5,2023
39,39,CHO,Mouhamed Gueye,Washington State,3,116,1785,563,436,100,.436,.291,.700,15.4,4.9,3.8,0.9,4.1,.110,-1.1,0.4,2023
40,40,DEN,Maxwell Lewis,Pepperdine,2,62,430,127,59,25,.380,.339,.692,6.9,2.0,1.0,0.4,-0.2,-.024,-6.6,-0.5,2023
41,41,CHO,Amari Bailey,UCLA,1,10,65,23,9,7,.333,.125,.857,6.5,2.3,0.9,0.7,-0.1,-.044,-8.3,-0.1,2023
42,42,WAS,Tristan Vukcevic,,3,94,1337,856,313,107,.481,.348,.780,14.2,9.1,3.3,1.1,1.6,.059,-0.6,0.5,2023
43,43,POR,Rayan Rupert,,3,155,2165,642,350,155,.381,.322,.771,14.0,4.1,2.3,1.0,0.5,.012,-5.5,-1.9,2023
44,44,SAS,Sidy Cissoko,,3,109,1690,460,209,135,.408,.283,.652,15.5,4.2,1.9,1.2,1.6,.044,-4.0,-0.8,2023
45,45,MEM,GG Jackson II,South Carolina,3,132,2870,1594,523,169,.447,.345,.744,21.7,12.1,4.0,1.3,2.6,.043,-2.2,-0.2,2023
46,46,ATL,Seth Lundy,Penn State,1,9,52,14,7,0,.235,.231,.750,5.8,1.6,0.8,0.0,-0.1,-.092,-12.7,-0.1,2023
47,47,LAL,Mojave King,,,,,,,,,,,,,,,,,,,2023
48,48,LAC,Jordan Miller,Miami (FL),3,105,1773,763,245,170,.507,.313,.783,16.9,7.3,2.3,1.6,4.0,.107,-0.5,0.7,2023
49,49,CLE,Emoni Bates,Eastern Michigan,2,25,208,78,21,18,.322,.333,.250,8.3,3.1,0.8,0.7,-0.2,-.045,-6.4,-0.2,2023
50,50,OKC,Keyontae Johnson,Kansas State,1,9,66,11,10,4,.313,.333,,7.3,1.2,1.1,0.4,-0.1,-.068,-9.8,-0.1,2023
51,51,BRK,Jalen Wilson,Kansas,3,176,3554,1306,515,240,.401,.340,.788,20.2,7.4,2.9,1.4,3.2,.043,-4.2,-1.9,2023
52,52,PHO,Toumani Camara,Dayton,3,230,7018,2509,1214,463,.448,.367,.727,30.5,10.9,5.3,2.0,11.9,.082,-1.2,1.4,2023
53,53,MIN,Jaylen Clark,UCLA,2,108,1410,438,173,69,.445,.362,.702,13.1,4.1,1.6,0.6,3.3,.111,-1.6,0.1,2023
54,54,SAC,Jalen Slawson,Furman University,2,25,348,103,64,38,.458,.357,.706,13.9,4.1,2.6,1.5,0.5,.069,-1.0,0.1,2023
55,55,IND,Isaiah Wong,Miami (FL),2,21,269,122,32,28,.389,.382,.735,12.8,5.8,1.5,1.3,0.0,.006,-4.2,-0.1,2023
56,56,MEM,Tarik Biberovic,,,,,,,,,,,,,,,,,,,2023
57,57,WAS,Trayce Jackson-Davis,Indiana,3,183,2593,1128,797,225,.631,.200,.555,14.2,6.2,4.4,1.2,9.6,.178,1.6,2.3,2023
58,58,MIL,Chris Livingston,Kentucky,3,45,213,65,59,11,.429,.063,.762,4.7,1.4,1.3,0.2,0.2,.042,-6.6,-0.3,2023
1,1,ATL,Zaccharie Risacher,,2,142,3346,1583,525,168,.457,.360,.686,23.6,11.1,3.7,1.2,4.1,.058,-3.1,-0.9,2024
2,2,WAS,Alex Sarr,,2,115,3119,1652,790,291,.433,.316,.685,27.1,14.4,6.9,2.5,1.3,.021,-1.6,0.3,2024
3,3,HOU,Reed Sheppard,Kentucky,2,134,2801,1339,316,352,.414,.383,.804,20.9,10.0,2.4,2.6,6.6,.113,1.6,2.6,2024
4,4,SAS,Stephon Castle,UConn,2,149,4200,2323,659,834,.448,.305,.729,28.2,15.6,4.4,5.6,6.9,.079,-0.7,1.4,2024
5,5,DET,Ron Holland,,2,159,2817,1162,533,177,.450,.246,.782,17.7,7.3,3.4,1.1,4.6,.078,-2.4,-0.3,2024
6,6,CHO,Tidjane Salaün,,2,97,1819,575,429,101,.385,.326,.694,18.8,5.9,4.4,1.0,1.5,.038,-3.8,-0.8,2024
7,7,POR,Donovan Clingan,UConn,2,144,3418,1370,1419,239,.527,.332,.651,23.7,9.5,9.9,1.7,12.6,.177,1.7,3.2,2024
8,8,SAS,Rob Dillingham,Kentucky,2,114,1486,628,181,241,.411,.324,.700,13.0,5.5,1.6,2.1,-1.0,-.032,-6.2,-1.6,2024
9,9,MEM,Zach Edey,Purdue,2,77,1700,760,670,77,.589,.333,.723,22.1,9.9,8.7,1.0,5.6,.159,0.0,0.9,2024
10,10,UTA,Cody Williams,Colorado,2,117,2691,818,311,196,.419,.237,.711,23.0,7.0,2.7,1.7,-1.0,-.018,-6.2,-2.9,2024
11,11,CHI,Matas Buzelis,,2,157,3759,1940,726,237,.460,.353,.795,23.9,12.4,4.6,1.5,4.4,.057,-1.6,0.4,2024
12,12,OKC,Nikola Topić,,1,10,160,52,19,44,.431,.400,.400,16.0,5.2,1.9,4.4,0.0,-.014,-8.4,-0.3,2024
13,13,SAC,Devin Carter,Providence,2,74,1096,477,201,142,.401,.274,.674,14.8,6.4,2.7,1.9,0.5,.023,-2.8,-0.2,2024
14,14,POR,Bub Carrington,Pitt,2,164,4729,1685,617,745,.412,.374,.765,28.8,10.3,3.8,4.5,-0.2,-.002,-4.7,-3.2,2024
15,15,MIA,Kel'el Ware,Indiana,2,141,3126,1446,1167,116,.540,.369,.718,22.2,10.3,8.3,0.8,10.3,.159,1.1,2.4,2024
16,16,PHI,Jared McCain,Duke,2,90,1752,910,193,150,.438,.385,.870,19.5,10.1,2.1,1.7,2.2,.059,-1.5,0.2,2024
17,17,LAL,Dalton Knecht,Tennessee,2,132,2047,934,291,87,.460,.368,.755,15.5,7.1,2.2,0.7,3.1,.073,-2.3,-0.2,2024
18,18,ORL,Tristan Da Silva,Colorado,2,151,3528,1295,529,237,.433,.357,.880,23.4,8.6,3.5,1.6,5.8,.079,-1.5,0.4,2024
19,19,TOR,Ja'Kobe Walter,Baylor,2,124,2577,990,345,167,.425,.385,.792,20.8,8.0,2.8,1.3,4.9,.092,-1.4,0.4,2024
20,20,CLE,Jaylon Tyson,California,2,113,2230,1039,434,191,.481,.430,.748,19.7,9.2,3.8,1.7,4.8,.103,-0.5,0.9,2024
21,21,NOP,Yves Missi,Baylor,2,139,3253,1042,986,183,.546,.000,.601,23.4,7.5,7.1,1.3,6.3,.093,-2.5,-0.4,2024
22,22,PHO,DaRon Holmes,Dayton,1,25,210,93,35,16,.508,.444,.786,8.4,3.7,1.4,0.6,0.4,.103,-0.5,0.1,2024
23,23,MIL,AJ Johnson,,2,77,1093,380,114,123,.357,.245,.857,14.2,4.9,1.5,1.6,-1.3,-.056,-8.4,-1.8,2024
24,24,NYK,Kyshawn George,Miami (FL),2,116,3193,1300,530,383,.406,.347,.781,27.5,11.2,4.6,3.3,0.8,.011,-2.8,-0.7,2024
25,25,NYK,Pacôme Dadiet,,2,47,247,78,45,17,.329,.255,.765,5.3,1.7,1.0,0.4,0.2,.035,-4.7,-0.2,2024
26,26,WAS,Dillon Jones,Weber State,2,61,591,144,128,62,.373,.250,.656,9.7,2.4,2.1,1.0,0.9,.072,-3.9,-0.3,2024
27,27,MIN,Terrence Shannon Jr.,Illinois,2,75,877,379,96,70,.463,.393,.802,11.7,5.1,1.3,0.9,1.6,.090,-3.0,-0.2,2024
28,28,DEN,Ryan Dunn,Virginia,2,144,2765,918,564,159,.440,.319,.488,19.2,6.4,3.9,1.1,3.6,.062,-2.5,-0.4,2024
29,29,UTA,Isaiah Collier,USC,2,130,3356,1303,385,869,.457,.257,.705,25.8,10.0,3.0,6.7,0.9,.012,-4.0,-1.7,2024
30,30,BOS,Baylor Scheierman,Creighton,2,108,1813,540,334,149,.429,.378,.860,16.8,5.0,3.1,1.4,4.6,.121,0.1,1.0,2024
31,31,TOR,Jonathan Mogbo,San Francisco,2,103,1535,450,379,171,.455,.239,.719,14.9,4.4,3.7,1.7,2.5,.079,-1.7,0.1,2024
32,32,UTA,Kyle Filipowski,Duke,2,149,3323,1569,992,338,.496,.337,.710,22.3,10.5,6.7,2.3,5.5,.080,-1.0,0.8,2024
33,33,MIL,Tyler Smith,,2,35,288,123,58,9,.450,.354,.714,8.2,3.5,1.7,0.3,0.4,.060,-3.2,-0.1,2024
