uniqueID,Year,"Player Name (Last Name, First Name)",Position,Height in Ft & In,Weight in lbs,Standing vertical Jump,Maximum Vertical Jump (with steps),three-quarter court sprint,lane agility drill,Bench Press test,Drafted?
1344,2004,"Moore, Marcus",PG-SG,"6'4""",202,25,30,3.34,11.31,,No
1345,2004,"Morandais, Michel",SG-SF,"6'4""",205,30.5,33.5,3.22,11.45,16,No
1346,2004,"Nelson, Jameer",PG,"5'11""",199,28.5,33.5,3.14,10.95,15,Yes
1347,2004,"Nikagbatse, Misan",SG-PG,"6'4""",223,27.5,32.5,3.32,11.27,11,No
1348,2004,"Okafor, Emeka",C-PF,"6'9""",257,31.5,34,3.15,12.32,22,Yes
1349,2004,"Orr, Randall",PF-SF,"6'9""",193,26.5,33,3.27,11.18,6,No
1350,2004,"Page, Dylan",SF,"6'8""",239,26,30,3.4,10.99,17,No
1351,2004,"Paulding, Rickey",SG,"6'3""",210,30,36,3.17,11.14,17,Yes
1352,2004,"Pena, Kelvin",SG-PG,"6'2""",182,27.5,32.5,3.24,11.5,1,No
1353,2004,"Pickett, Tim",PG-SG,"6'3""",207,,,,,,Yes
1354,2004,"Quintero, Omar",PG,"5'10""",170,25,29,3.25,11.37,2,No
1355,2004,"Ramos, Peter",C,"7'2""",266,24,26.5,3.6,12.61,2,No
1356,2004,"Reiner, Jared",C-PF,"6'10""",246,22,26,3.56,12.65,15,No
1357,2004,"Roberts, Lawrence",PF,"6'8""",233,27.5,33,3.3,12.52,18,No
1358,2004,"Robinson, Bernard",SG-SF,"6'5""",208,28.5,34.5,3.17,10.91,14,Yes
1359,2004,"Robinson, Nate",PG,"5'8""",181,35.5,43.5,2.96,10.75,13,No
1360,2004,"Sanders, Aerick",PF,"6'6""",205,24.5,30.5,3.37,11.98,9,No
1361,2004,"Sato, Romain",SG,"6'2""",204,31.5,35.5,3.18,11.27,8,Yes
1362,2004,"Sekulic, Blagota",SF-PF,"6'9""",234,23.5,31.5,3.39,10.93,8,No
1363,2004,"Smith, J.R.",SG-SF,"6'6""",227,29,35.5,3.21,10.93,5,No
1364,2004,"Smith, Josh",SG-SF,"6'7""",221,32.5,39.5,3.24,11.43,12,Yes
1365,2004,"Snyder, Kirk",SG-SF,"6'6""",228,30,35,3.13,10.79,19,Yes
1366,2004,"Sow, Pape",PF-C,"6'8""",233,28,31.5,3.27,12.13,18,Yes
1367,2004,"Splitter, Tiago",C-PF,"6'10""",233,26,31.5,3.38,11.65,8,No
1368,2004,"Stepp, Blake",PG,,,,,,,,Yes
1369,2004,"Timmerrmans, Tom",PF-C,"6'10""",272,23,26.5,3.63,13.13,15,No
1370,2004,"Tomas, Marko",SG-PG,"6'6""",198,32,31.5,3.23,11.8,,No
1371,2004,"Udrih, Beno",PG,"6'2""",199,,,,,2,Yes
1372,2004,"Vroman, Jackson",PF-C,"6'9""",226,29.5,33.5,3.25,10.75,12,Yes
1373,2004,"West, Delonte",PG-SG,"6'2""",183,30,35,3.15,11.2,12,Yes
1374,2004,"Wilkins, Damien",SG-SF,"6'4""",222,26.5,31,3.15,11.92,15,No
1375,2004,"Williams, Mike",SF,"6'6""",197,23.5,27.5,3.42,11.59,,No
1376,2004,"Williams, Nate",PF-SF,"6'8""",240,23.5,26,3.35,12.6,1,No
1377,2004,"Wright, Rashad",PG,"6'0""",190,28.5,32.5,3.28,11.15,10,Yes
1378,2003,"Anagonye, Aloysius",PF,"6'7""",257,31,34.5,3.3,12.93,6,No
1379,2003,"Anderson, Rick",SF-PF,"6'8""",216,26,30.5,3.4,11.23,6,No
1380,2003,"Anthony, Carmelo",SF,"6'6""",233,30.5,33.5,3.15,11.4,7,Yes
1381,2003,"Beasley, Jerome",SF-PF,"6'9""",237,27,32,3.25,11.36,10,Yes
1382,2003,"Bell, Troy",PG,"6'0""",178,34.5,41,3.06,10.89,17,Yes
1383,2003,"Blanchard, LaVell",SF,"6'6""",205,33.5,36.5,3.38,11.64,12,No
1384,2003,"Bogans, Keith",SG,"6'4""",213,29.5,35,3.25,11.43,10,Yes
1385,2003,"Bonner, Matt",PF-SF,"6'8""",242,27,32,3.32,11.52,20,Yes
1386,2003,"Bosh, Chris",PF,"6'10""",225,30.5,33,3.3,11.8,9,Yes
1387,2003,"Boyette, Jermaine",PG-SG,"6'1""",187,29,35.5,3.07,11.2,14,No
1388,2003,"Camara, Souleymane",PF-SF,"6'10""",211,28.5,34.5,3.2,11.51,2,No
1389,2003,"Carroll, Matt",SG-SF,"6'5""",207,29,33.5,3.35,11.11,13,No
1390,2003,"Collison, Nick",PF,"6'9""",255,28,33,3.28,11.62,8,Yes
1391,2003,"Cook, Brian",PF-SF,"6'10""",234,25,29,3.45,11.87,6,Yes
1392,2003,"Cornette, Joel",PF-SF,"6'8""",239,26,32.5,3.14,11.27,13,No
1393,2003,"Daniels, Marquis",SG-PG,"6'5""",198,30.5,35,3.25,11.62,6,No
1394,2003,"Djuric, Aleksander",C-PF,"6'10""",253,23.5,27.5,3.65,11.97,3,No
1395,2003,"Douglas, Ruben",SG,"6'4""",193,28.5,35,3.27,11.95,9,No
1396,2003,"Dupree, Ronald",SF-SG,"6'6""",209,37.5,41.5,3.23,11.09,11,No
1397,2003,"English, Carl",SG-PG,"6'4""",201,28,34,3.32,11.77,11,No
1398,2003,"Ere, Ebi",SG,"6'4""",210,29.5,33.5,3.16,11.38,,No
1399,2003,"Estill, Marquis",PF-C,"6'8""",257,30,36,3.31,12.92,7,No
1400,2003,"Ford, T.J.",PG,"5'11""",162,32.5,39.5,3.2,11.45,0,No
1401,2003,"Gardner, Jason",PG,"5'10""",194,30.5,35,3.17,10.62,10,No
1402,2003,"Green, Willie",SG-PG,"6'2""",201,28.5,28.5,3.19,11.86,13,Yes
1403,2003,"Hamilton, Justin",PG-SG,"6'3""",217,30,37.5,3.18,11.18,17,No
1404,2003,"Hansen, Travis",SG,"6'4""",200,31.5,35,3.18,10.72,16,Yes
1405,2003,"Harvey, Trevor",C-PF,"6'10""",245,29.5,32,3.32,11.85,11,No
1406,2003,"Hatten, Marcus",PG,"6'1""",163,29.5,37.5,3.15,11.5,7,No
1407,2003,"Hinrich, Kirk",PG-SG,"6'3""",186,29,33.5,3.1,10.98,10,Yes
1408,2003,"Holman, Jerry",PF,"6'9""",232,33,37.5,3.24,11.54,11,No
1409,2003,"Hoskin, Sam",PF,"6'7""",261,,,,,24,No
1410,2003,"Howard, Josh",SF-SG,"6'5""",202,33,36.5,3.09,10.89,4,Yes
1411,2003,"Hunter, Brandon",PF,"6'6""",266,32.5,35,3.21,11.13,25,Yes
1412,2003,"Ibrahim, Sani",C-PF,"6'8""",229,26,30.5,3.4,13.02,12,No
1413,2003,"Ignerski, Michael",PF-SF,"6'10""",232,26.5,33,3.13,11.21,10,No
1414,2003,"Jackson, Robert",PF-C,"6'8""",254,23.5,26,3.25,11.26,15,No
1415,2003,"James, LeBron",SF-SG,"6'7""",245,,,,,,Yes
1416,2003,"Johnsen, Britton",SF-PF,"6'10""",212,26.5,32.5,3.08,10.67,13,No
1417,2003,"Jones, Dahntay",SG-SF,"6'5""",214,30,39.5,3.11,10.91,,Yes
1418,2003,"Jones, James",SF,"6'7""",218,30.5,33,3.19,11.18,9,Yes
1419,2003,"Kaman, Chris",C-PF,"6'12""",252,23.5,30.5,3.37,11.33,15,Yes
1420,2003,"Kapono, Jason",SG-SF,"6'6""",215,23.5,30,3.38,11.04,8,Yes
1421,2003,"Keep, Jason",C-PF,"6'10""",270,29.5,34,3.3,11.18,27,No
1422,2003,"King, Bernard",SG-PG,"6'4""",200,28,33.5,3.18,11.37,11,No
1423,2003,"Knight, Brandin",PG,"5'12""",190,,,,,6,No
1424,2003,"Korver, Kyle",SF,"6'6""",211,25.5,31.5,3.47,11.42,13,Yes
1425,2003,"Lang, James",C-PF,"6'8""",316,24.5,32,3.55,14.01,8,Yes
1426,2003,"Little, Donald",PF-C,"6'10""",229,33,37,3.2,11.18,18,No
1427,2003,"Marcus, Chris",C,"7'0""",334,,,,,12,No
1428,2003,"Massie, Chris",PF-C,"6'6""",259,26.5,33,3.22,12.48,13,No
1429,2003,"McDonald, Will",C-PF,"6'10""",258,25,32.5,3.42,11.83,17,No
1430,2003,"Milicic, Darko",PF,"6'12""",250,26.5,32.5,3.36,11.3,13,No
1431,2003,"Newton, Jeff",PF,"6'8""",199,27.5,34,3.23,11.18,9,No
1432,2003,"Nsonwu-Amadi, Uche",PF-C,"6'8""",246,27.5,29,3.25,11.83,21,No
1433,2003,"Okyekwe, Ugonna",SF,"6'7""",228,32,36.5,3.2,11.43,8,No
1434,2003,"Parmer, Marlon",PG,"6'1""",184,28,32,3.42,,13,No
1435,2003,"Pelle, Stephane",PF-SF,"6'7""",246,28.5,33,3.27,11.37,17,No
1436,2003,"Penney, Kirk",SG-SF,"6'5""",218,32,35.5,3.04,10.44,15,No
1437,2003,"Podkolzin, Pavel",C,"7'4""",303,19.5,22.5,3.8,13.4,5,No
1438,2003,"Powell, Josh",PF-SF,"6'8""",227,32.5,38.5,3.2,11.72,15,No
1439,2003,"Price, Hollis",PG-SG,"5'12""",165,27.5,33,3.25,10.72,1,No
1440,2003,"Ridnour, Luke",PG,"6'1""",167,26,32.5,3.28,11,0,Yes
1441,2003,"Shipp, Joe",SG,"6'4""",224,29,34.5,3.2,11.75,17,No
1442,2003,"Slay, Ron",SF-PF,"6'6""",236,28.5,31.5,3.43,12.01,10,No
1443,2003,"Smith, Theron",PF-SF,"6'6""",234,28.5,32,3.1,10.99,25,No
1444,2003,"Smith, Tommy",PF-SF,"6'9""",200,30,33,3.14,11.54,2,Yes
1445,2003,"Stone, Marvin",C-PF,"6'10""",261,25.5,27.5,3.5,12.1,9,No
1446,2003,"Sweetney, Michael",PF,"6'7""",262,26,31.5,3.28,12.9,3,No
1447,2003,"Vujacic, Sasha",PG-SG,"6'6""",193,,,,,0,No
1448,2003,"Wade, Dwyane",SG-SF,"6'4""",212,31.5,35,3.08,10.56,9,Yes
1449,2003,"Wallace, Wayne",PF,"6'7""",187,29.5,36,3.24,11.85,6,No
1450,2003,"Walton, Luke",SF-PF,"6'8""",235,28,,,,12,Yes
1451,2003,"West, David",PF-SF,"6'8""",226,28.5,31.5,3.43,12.18,11,Yes
1452,2003,"Williams, Mo",PG-SG,"6'1""",189,,,,,3,Yes
1453,2003,"Wilson, Wesley",C-PF,"6'10""",257,27,30.5,3.3,12.19,20,No
1454,2003,"Wrenn, Doug",SF-PF,"6'6""",220,34.5,41,3.17,11.38,15,No
1455,2003,"Zimmerman, Derrick",PG,"6'1""",190,34,40.5,3.1,11.09,13,Yes
1456,2002,"Archibald, Robert",PF-C,"6'10""",250,24,27.5,3.33,11.34,10,Yes
1457,2002,"Baker, Maurice",PG,"5'12""",178,29.5,33,3.29,12.19,2,No
1458,2002,"Barnes, Matt",SF,"6'7""",226,35.5,40.5,3.28,10.68,11,Yes
1459,2002,"Barton, Lubos",SF-SG,"6'6""",221,25.5,31.5,3.31,11.2,14,No
1460,2002,"Baxter, Lonny",PF-C,"6'6""",264,28,32.5,3.21,11.77,14,Yes
1461,2002,"Benson, Lee",SF-PF,"6'8""",217,27.5,32.5,3.29,11.44,14,No
1462,2002,"Boozer, Carlos",PF,"6'8""",258,26.5,28.5,3.31,10.77,13,Yes
1463,2002,"Borchardt, Curtis",C,"6'11""",238,24,27,3.63,12.56,7,Yes
1464,2002,"Bremer, J.R.",SG-PG,"6'1""",188,30,35.5,3.1,10.93,24,No
1465,2002,"Brown, Brian",PG-SG,"6'2""",194,26,33,3.29,11.43,8,No
1466,2002,"Bryan, Sylvere",PF,"6'9""",226,28.5,29.5,3.2,12.03,13,No
1467,2002,"Burgess, Chris",C,"6'10""",246,24.5,31,3.37,11.58,24,No
1468,2002,"Butler, Caron",SF-SG,"6'5""",222,27,31,3.33,12.15,2,Yes
1469,2002,"Butler, Rasual",SF,"6'7""",198,31.5,37.5,3.29,11.54,10,Yes
1470,2002,"Chatman, Mire",PG-SG,"6'0""",174,29,33,3.18,11.12,1,No
1471,2002,"Christoffersen, Chris",C,"7'1""",291,28,31,3.39,12.55,13,No
1472,2002,"Cooke, Lenny",SG-SF,"6'6""",214,,,,,0,No
1473,2002,"Dawson, Craig",SG-SF,"6'4""",200,26,30,3.25,12.06,0,No
1474,2002,"Dunleavy, Mike",SF,"6'8""",230,24.5,29,3.3,11.55,11,Yes
1475,2002,"Dupay, Teddy",PG,"5'10""",178,28,33,3.19,10.53,16,No
1476,2002,"Edwards, Corsley",PF,"6'7""",285,28.5,33,3.31,12.18,12,Yes
1477,2002,"Ellis, Andy",PF,"6'9""",220,32,35.5,3.34,11.69,6,No
1478,2002,"Ely, Melvin",PF,"6'9""",240,26,29,3.35,11.96,7,Yes
1479,2002,"Evans, Reggie",PF,"6'8""",250,26,29.5,3.26,12.73,15,No
1480,2002,"Fehse, Peter",PF-C,"6'10""",220,,,,,,Yes
1481,2002,"Gooden, Drew",PF,"6'9""",227,29,33,3.19,11.81,13,Yes
1482,2002,"Graves, David",SG,"6'4""",212,26,29.5,3.27,11.2,8,No
1483,2002,"Greer, Lynn",PG,"6'0""",170,29.5,36.5,3.16,11.24,12,No
1484,2002,"Grizzard, Rod",SF-SG,"6'6""",193,,,,,6,Yes
1485,2002,"Grundy, Anthony",PG-SG,"6'1""",167,27.5,32,3.39,11.1,0,No
1486,2002,"Haislip, Marcus",PF,"6'8""",221,33.5,36.5,3.21,11.35,8,Yes
1487,2002,"Hancock, Damon",SG-PG,"6'3""",203,32,35,3.03,11.62,15,No
1488,2002,"Harrington, Greg",PG,"6'1""",183,28.5,34,3.32,12.06,15,No
1489,2002,"Haslem, Udonis",PF,"6'8""",250,28.5,33.5,3.31,11.8,22,No
1490,2002,"Henry, Cordell",PG,"5'8""",155,33,37.5,3.04,11.3,1,No
1491,2002,"Holcomb, Randy",SF-PF,"6'7""",225,29.5,35.5,3.22,12.85,15,Yes
1492,2002,"Humphrey, Ryan",PF-SF,"6'6""",223,31.5,37.5,3.2,11.75,13,Yes
1493,2002,"Jeffries, Jared",PF,"6'10""",230,26,30,3.4,11.73,9,Yes
1494,2002,"Jennings, Jason",C,"6'11""",249,29,32,3.62,11.92,8,Yes
1495,2002,"Jones, Fred",SG,"6'2""",218,33.5,37.5,3.13,11.12,,Yes
1496,2002,"Jones, Lonnie",C-PF,"6'10""",230,30.5,31.5,3.33,11.8,15,No
1497,2002,"Kasun, Mario",C,"6'12""",260,,,,,12,Yes
1498,2002,"Kennedy, Sean",PG,"6'1""",182,22.5,26.5,3.28,11.64,0,No
1499,2002,"Lang, Kris",C-PF,"6'9""",242,28,29,3.24,11.36,19,No
1500,2002,"Lasege, Muhammed",C-PF,"6'9""",228,27.5,30,3.29,12.96,18,No
1501,2002,"Logan, Steve",PG,"5'10""",207,,,,,11,Yes
1502,2002,"Lyde, Kevin",C-PF,"6'9""",278,27.5,30.5,3.36,12.97,13,No
1503,2002,"Maddox, Tito",PG,"6'3""",200,27,32.5,3.24,12.2,0,Yes
1504,2002,"Madison, Kei",SF,"6'8""",216,27.5,34.5,3.22,11.74,6,No
1505,2002,"McElroy, Immanuel",SG,"6'2""",191,,,,,9,No
1506,2002,"McGhee, Aaron",PF-SF,"6'7""",255,26,28.5,,12.24,,No
1507,2002,"Mims, Elvin",SF-SG,"6'4""",211,32,38,3.22,11.17,7,No
1508,2002,"Mouton, Byron",SG-SF,"6'4""",213,24,30,3.1,11.84,7,No
1509,2002,"Murray, Ronald",SG,"6'3""",197,31,36.5,3.16,11.13,9,Yes
1510,2002,Nene,PF,"6'9""",253,30,34,3.19,10.73,16,No
1511,2002,"Okafor, Uche",PF-C,"6'9""",229,24.5,25,3.34,14.45,10,No
1512,2002,"Owens, Chris",PF-SF,"6'7""",237,,,,,10,Yes
1513,2002,"Pargo, Jannero",PG,"6'0""",168,25.5,29.5,3.2,11.11,5,No
1514,2002,"Parker, Smush",PG-SG,"6'2""",179,21,28.5,3.26,12.3,1,No
1515,2002,"Recker, Luke",SG-SF,"6'5""",198,25.5,31,3.27,10.78,13,No
1516,2002,"Roberts, Rolan",PF,"6'6""",241,32.5,37.5,3.33,11.36,16,No
1517,2002,"Robinson, Travis",SF,"6'5""",211,26,33,3.43,11.96,3,No
1518,2002,"Rush, Kareem",SG-SF,"6'5""",199,26,30,3.22,11.86,15,Yes
1519,2002,"Sales, Brooks",PF-C,"6'9""",232,26,29.5,3.29,11.05,13,No
1520,2002,"Salmons, John",SF-SG,"6'6""",207,30.5,34.5,3.25,11.35,12,Yes
1521,2002,"Savovic, Predrag",SG,"6'5""",212,22.5,28.5,3.38,10.94,13,No
1522,2002,"Sensley, Julian",PF-SF,"6'7""",228,27.5,31.5,3.32,11.85,8,No
