uniqueID,Year,"Player Name (Last Name, First Name)",Position,Height in Ft & In,Weight in lbs,Standing vertical Jump,Maximum Vertical Jump (with steps),three-quarter court sprint,lane agility drill,Bench Press test,Drafted?
1548,2001,"Brown, Kwame",PF-C,"6'10""",243,30,33,3.45,11.59,17,Yes
1549,2001,"Brown, SirValiant",PG,"5'11""",176,31,39.5,3,11.23,10,No
1550,2001,"Carroll, Ryan",SF-SG,"6'4""",202,34.5,39,3.1,11,14,No
1551,2001,"Chandler, Tyson",SF-PF,"6'12""",224,31,33.5,3.36,12.13,2,Yes
1552,2001,"Chenowith, Eric",C,"7'1""",264,23.5,27.5,3.59,12.5,6,Yes
1553,2001,"Clancy, Sam",PF,"6'6""",242,31,34,3.13,11.47,15,No
1554,2001,"Cline-Heard, Gyasi",PF,"6'6""",231,31.5,34.5,3.23,11.4,11,No
1555,2001,"Collins, Jarron",C-PF,"6'9""",252,23,29,3.6,11.65,10,Yes
1556,2001,"Collins, Jason",PF-C,"6'10""",251,25.5,28.5,3.54,12.1,8,Yes
1557,2001,"Cook, Omar",PG,"5'12""",189,31,35.5,3.2,10.77,9,Yes
1558,2001,"Curry, Eddy",C,"6'10""",301,28,31,3.53,12.25,16,Yes
1559,2001,"Decker, Tate",SF,"6'9""",218,25.5,28.5,3.47,12.19,13,No
1560,2001,"Diop, DeSagana",C,"6'10""",314,21.5,25.5,3.56,12.37,15,Yes
1561,2001,"Dryden, Robb",C,"7'1""",241,27,30,3.46,12.47,8,No
1562,2001,"Evans, Anthony",PF,"6'6""",267,31.5,33,3.31,12.56,18,No
1563,2001,"Evans, Maurice",SG,"6'4""",221,34.5,37.5,3.12,10.08,22,No
1564,2001,"Eze, Benjamin",C-PF,"6'9""",232,29,32,3.36,13.05,14,No
1565,2001,"Ffriend, Kimani",C-PF,"6'10""",228,32,33,3.09,11.46,9,No
1566,2001,"Ford, Alton",PF,"6'8""",271,34.5,36.5,3.16,11.7,21,Yes
1567,2001,"Forte, Joseph",SG,"6'4""",193,26.5,33,3.19,11.51,10,Yes
1568,2001,"Green, Jerry",PG-SG,"6'2""",179,28.5,35,3.17,11.7,13,No
1569,2001,"Gregory, Kenny",SF,"6'4""",200,39.5,45.5,3.1,11.33,10,No
1570,2001,"Griffin, Eddie",PF-SF,"6'9""",222,26.5,33,3.21,11.77,3,Yes
1571,2001,"Hassell, Trenton",SG-SF,"6'4""",205,35.5,37.5,3.29,11.57,12,Yes
1572,2001,"Haston, Kirk",PF-SF,"6'8""",242,27,31.5,3.35,12.25,11,Yes
1573,2001,"Hathaway, Charles",C,"6'8""",274,,,,,,No
1574,2001,"Haywood, Brendan",C,"6'12""",266,27,28.5,3.5,12.87,17,Yes
1575,2001,"Hicks, Michael",SG,"6'4""",197,33,40.5,3.19,11.38,13,No
1576,2001,"Hunter, Steven",C-PF,"6'10""",224,30.5,38.5,3.15,11.99,11,Yes
1577,2001,"Hutson, Andre",PF,"6'8""",244,29,32.5,3.3,11.25,17,Yes
1578,2001,"James, Nate",SF,"6'5""",196,26,31,3.31,11.42,23,No
1579,2001,"Jefferson, Richard",SF,"6'7""",223,33,38.5,3.15,11.19,14,Yes
1580,2001,"Jenkins, Horace",PG,"5'12""",171,34.5,41,3.1,10.97,2,No
1581,2001,"Johns, Darrell",C,"6'11""",278,23.5,30,3.59,12.41,18,No
1582,2001,"Johnson, Joe",SF-SG,"6'7""",226,32.5,36.5,3.4,12.05,12,Yes
1583,2001,"Johnson, Ken",C,"6'11""",227,32.5,35,3.12,11.27,13,Yes
1584,2001,"Kelly, Darren",SG-PG,"6'2""",178,30.5,34.5,3.21,11.38,1,No
1585,2001,"Lampley, Sean",SF,"6'6""",213,36,40,3.12,11.06,12,Yes
1586,2001,"Marbury, Zach",PG-SG,"6'1""",183,33,36.5,3.1,11.53,0,No
1587,2001,"Mardesich, Mike",C-PF,"6'10""",247,24,30,3.45,11.65,8,No
1588,2001,"Minor, DeMarcus",SG,"6'3""",207,29,41,3.15,10.57,9,No
1589,2001,"Moon, Jamario",SF,"6'6""",185,33,43,3.08,11.64,0,No
1590,2001,"Murphy, Troy",PF,"6'10""",230,28.5,34.5,3.43,11.22,11,Yes
1591,2001,"Ostler, Troy",PF-SF,"6'9""",200,26.5,29.5,3.5,13.42,2,No
1592,2001,"Papadopoulos, Lazaros",C-PF,"6'10""",227,23,26,3.7,12,4,No
1593,2001,"Phillips, Rashad",PG,"5'9""",166,27,32,3.27,11.93,5,No
1594,2001,"Porter, Demetrius",PG,"5'11""",178,26,31,3.34,11.5,5,No
1595,2001,"Rancik, Martin",PF-SF,"6'9""",230,32,37,3.19,10.77,14,No
1596,2001,"Richardson, Jason",SF-SG,"6'5""",213,32.5,39.5,3.12,11.75,15,Yes
1597,2001,"Richardson, Norman",SG,"6'4""",180,30.5,35.5,3.15,10.97,2,No
1598,2001,"Sasser, Jeryl",PG-SG,"6'6""",194,29,34,3.22,11.47,1,Yes
1599,2001,"Satterfield, Kenny",PG,"6'1""",176,28.5,33,3.2,12.05,3,Yes
1600,2001,"Scalabrine, Brian",PF-SF,"6'9""",241,27,30.5,3.47,11.75,14,Yes
1601,2001,"Scruggs, Lee",PF-SF,"6'10""",209,23.5,29.5,3.55,13.28,0,No
1602,2001,"Simmons, Bobby",SF,"6'6""",235,27.5,34,3.41,11.69,12,Yes
1603,2001,"Solomon, Will",PG-SG,"5'12""",172,28.5,35,3.22,11.3,4,Yes
1604,2001,"Stevenson, Greg",SF,"6'4""",215,30,35.5,3.23,11.29,15,No
1605,2001,"Thornton, Damone",PF,"6'7""",235,33.5,37.5,3.2,11.17,19,No
1606,2001,"Tinsley, Jamaal",PG,"6'1""",199,28,37.5,3.2,11.96,1,Yes
1607,2001,"Walker, Tory",SF,"6'7""",187,28,33,3.25,11.95,7,No
1608,2001,"Wane, Souleymane",C,"6'8""",235,29,30.5,3.46,12.02,9,No
1609,2001,"Watson, Earl",PG,"6'0""",184,32.5,37.5,3.19,10.97,4,Yes
1610,2001,"White, Rodney",SF,"6'8""",243,27.5,33,3.47,12.07,16,Yes
1611,2001,"Woods, Loren",C-PF,"7'1""",246,24.5,28,3.48,11.83,10,Yes
1612,2001,"Wright, Brent",PF-SF,"6'8""",236,23,29,3.3,12.25,19,No
1613,2001,"Wright, Michael",PF,"6'7""",247,27.5,33.5,3.21,11.37,18,Yes
1614,2000,"Allen, Malik",PF-C,"6'8""",271,25.5,29,3.38,11.83,13,No
1615,2000,"Arceneaux, Harold",SG-SF,"6'4""",219,,29,,13.8,0,No
1616,2000,"Barnes, Lamont",PF-C,"6'8""",235.5,28,29.5,3.4,12.3,10,No
1617,2000,"Bland, Mario",PF,"6'6""",287,27,31,3.47,13.04,15,No
1618,2000,"Brezec, Primoz",C,"7'1""",243,26,29.5,3.55,11.53,,No
1619,2000,"Brown, Ernest",C,"6'10""",222.5,,,,,2,Yes
1620,2000,"Claxton, Speedy",PG,"5'10""",166,36,42.5,3.06,10.48,6,Yes
1621,2000,"Coley, Eric",SG-SF,"6'4""",205,35,38,3.15,11.4,10,No
1622,2000,"Cota, Ed",PG,"6'0""",189,26.5,33.5,3.24,10.98,1,No
1623,2000,"Cotton, Schea",SF,"6'4""",219.5,34,38,3,11.55,19,No
1624,2000,"Crawford, Jamal",PG-SG,"6'4""",175,,,,,0,Yes
1625,2000,"Cyrus, Caswell",PF,"6'8""",220.5,33.5,37.5,3.16,12.12,18,No
1626,2000,"Doc Robinson, Julius",PG,"6'0""",184,30,37.5,3.41,12.54,0,No
1627,2000,"El-Amin, Khalid",PG,"5'9""",200,27.5,32,3.32,10.59,6,No
1628,2000,"Evtimov, Vassil",PF,"6'10""",262,21,28.5,3.52,11.75,13,No
1629,2000,"Fotsis, Antonis",SF,"6'9""",219,27,30,3.44,11.6,2,No
1630,2000,"Gill, Eddie",PG,"5'12""",176,35,38.5,3.18,11.12,13,No
1631,2000,"Goodwyn, Ceedric",SF-PF,"6'6""",238,,,,,,No
1632,2000,"Goree, Marcus",SF-PF,"6'8""",239,29.5,33.5,3.25,12,13,No
1633,2000,"Granger, A.J.",SF,"6'8""",227,30,34,3.25,10.73,20,No
1634,2000,"Guyton, A.J.",PG-SG,"6'1""",175,33,37.5,3.22,10.55,9,No
1635,2000,"Hale, Ron",SG-SF,"6'8""",202,29.5,34.5,3.2,12.58,11,No
1636,2000,"Hart, Jason",PG,"6'2""",181,29.5,33.5,3.34,11.7,9,Yes
1637,2000,"Harvey, Donnell",PF,"6'7""",220,33,32.5,,11.23,15,Yes
1638,2000,"Hemsley, Johnny",SG-SF,"6'3""",200,31.5,35,3.19,11.5,5,No
1639,2000,"Hermon, Michael",SG-PG,"6'3""",195,29,33,3.25,11.79,0,No
1640,2000,"Hightower, Cory",SG-SF,"6'6""",183,29.5,34.5,3.37,11.92,0,Yes
1641,2000,"Holloway, Shaheen",PG,"5'10""",174,,,3.32,11.22,6,No
1642,2000,"House, Eddie",SG-PG,"5'12""",176.5,29.5,38.5,3.27,11.12,5,Yes
1643,2000,"Hunter, Jimmie",SG-PG,"6'3""",170,29,36,3.35,11.23,0,No
1644,2000,"Jaacks, Jacob",PF,"6'9""",238,26,32,3.58,11.48,3,No
1645,2000,"Jaric, Marko",SG-SF,"6'6""",210,27.5,33,3.28,11.32,,No
1646,2000,"Johnson, Nate",SF,"6'6""",211.5,27,33.5,3.33,11.9,13,No
1647,2000,"Jones, Kenyon",PF-C,"6'9""",282,28.5,30,3.6,12.44,20,No
1648,2000,"Karcher, Mark",SG,"6'4""",218,27.5,30.5,3.4,11.51,12,Yes
1649,2000,"Kurtz, Brandon",PF-C,"6'10""",257,,,,,7,No
1650,2000,"Langhi, Dan",SF,"6'9""",197.5,31,34.5,3.24,10.85,12,Yes
1651,2000,"Love, Justin",PG-SG,"6'2""",205.5,31,38.5,3.31,10.99,24,No
1652,2000,"Madsen, Mark",PF,"6'8""",236.5,30.5,33.5,3.46,12.12,13,Yes
1653,2000,"McClintock, Dan",C-PF,"6'11""",250,33,35,3.33,11.52,20,Yes
1654,2000,"Mickeal, Pete",SG-SF,"6'5""",222,28,34.5,3.06,10.83,8,Yes
1655,2000,"Montonati, Brian",PF,"6'9""",215,25,29,3.53,11.85,5,No
1656,2000,"Muoneke, Gabe",PF-SF,"6'6""",244,30.5,34,3.4,11,22,No
1657,2000,"N'diaye, Ndongo",C,"6'12""",208,24.5,27.5,3.69,13.16,4,No
1658,2000,"Najera, Eduardo",PF-SF,"6'6""",234.5,28,35,3.45,11.38,15,No
1659,2000,"Nielsen, Matthew",PF,"6'9""",223,26,29,3.35,11.28,3,No
1660,2000,"Porter, Chris",SF-PF,"6'6""",214,28.5,35,3.2,10.93,6,Yes
1661,2000,"Postell, Lavor",SG,"6'4""",205,33.5,36.5,3.3,11.79,17,Yes
1662,2000,"Rakocevic, Igor",PG,"6'2""",184,27.5,34,3.1,10.4,9,No
1663,2000,"Rawlings, Reed",SG-SF,"6'6""",218,28.5,33.5,3.27,11.1,13,No
1664,2000,"Redd, Michael",SG-SF,"6'5""",214,27,31,3.34,12.06,12,Yes
1665,2000,"Reed, Damon",PF-C,"6'8""",228,27.5,31.5,3.31,11.21,4,No
1666,2000,"Reese, Aubrey",PG,"5'11""",189,31.5,37.5,3.25,11.13,14,No
1667,2000,"Roberson, Terrance",SF,"6'6""",209,29,32.5,,11.66,11,No
1668,2000,"Sanchez, Pepe",PG,"6'3""",194,26,31,3.44,11.62,8,No
1669,2000,"Santangelo, Matt",PG,"6'0""",177,33.5,43,3.06,10.66,12,No
1670,2000,"Scales, Alex",SG-PG,"6'2""",184.5,38.5,42.5,3.21,10.98,10,No
1671,2000,"Shabazz, Karim",C,"6'12""",224,24.5,28,3.36,12.72,2,No
1672,2000,"Sheppard, Nick",PF-C,"6'10""",273,23.5,25.5,3.52,12.14,18,No
1673,2000,"Smith, Jabari",PF-C,"6'10""",240.5,24.5,30,3.43,12.45,15,Yes
1674,2000,"Smith, Mike",SF,"6'6""",198,33,21,3.22,11.32,12,Yes
1675,2000,"Stephens, Jarrett",PF,"6'5""",258,27,29,3.46,11.98,13,No
1676,2000,"Thornton, Bootsy",SG,"6'4""",194.5,26.5,31,3.33,12.08,7,No
1677,2000,"Walls, Jaquay",PG,"6'1""",165.5,28.5,35.5,3.23,10.75,0,Yes
1678,2000,"Watkins, Jameel",PF-C,"6'10""",244.5,28,30.5,3.45,12.38,11,No
